DeploymentYear,total.spring,total.nov,total.dec,total.jan,total.feb,total.mar
ABMI-1252-SW_2015,78,0,0,0,8,31
ABMI-1253-NE_2015,78,0,0,0,10,31
ABMI-1253-NW_2015,78,0,0,0,10,31
ABMI-1253-SE_2015,78,0,0,0,10,31
ABMI-1253-SW_2015,78,0,0,0,10,31
ABMI-1254-NE_2015,78,0,0,0,9,31
ABMI-1254-NW_2015,78,0,0,0,9,31
ABMI-1254-SW_2015,78,0,0,0,9,31
ABMI-1255-NE_2017,78,0,0,13,28,31
ABMI-1255-NW_2017,78,0,0,13,28,31
ABMI-1255-SE_2017,78,0,0,13,28,31
ABMI-1255-SW_2017,78,0,0,13,28,31
ABMI-1256-NE_2017,78,0,0,12,28,31
ABMI-1256-NW_2017,78,0,0,12,28,31
ABMI-1256-SE_2017,78,0,0,12,28,31
ABMI-1256-SW_2017,78,0,0,12,28,31
ABMI-1263-NE_2017,78,2,31,31,28,31
ABMI-1263-NW_2017,78,2,31,31,28,31
ABMI-1263-SE_2017,78,2,31,31,28,31
ABMI-1263-SW_2017,78,2,31,31,28,31
ABMI-1264-NE_2017,78,1,31,31,28,31
ABMI-1264-NW_2017,78,1,31,31,28,31
ABMI-1264-SE_2017,78,1,31,31,28,31
ABMI-1264-SW_2017,78,1,31,31,28,31
ABMI-1265-NE_2017,78,0,31,31,28,31
ABMI-1265-NW_2017,78,0,31,31,28,31
ABMI-1265-SE_2017,78,0,31,31,28,31
ABMI-1265-SW_2017,64,0,31,31,28,31
ABMI-1266-NE_2018,78,0,0,9,28,31
ABMI-1266-NW_2018,78,0,0,9,28,31
ABMI-1266-SE_2018,78,0,0,9,28,31
ABMI-1266-SW_2018,78,0,0,9,28,31
ABMI-1267-NE_2018,78,0,0,8,28,31
ABMI-1267-NW_2018,78,0,0,8,28,31
ABMI-1267-SE_2018,78,0,0,8,28,31
ABMI-1267-SW_2018,78,0,0,8,28,31
ABMI-1268-NE_2018,78,0,0,7,28,31
ABMI-1268-NW_2018,78,0,0,7,28,31
ABMI-1268-SE_2018,78,0,0,7,28,31
